komentar,kantor,letak,rating,sentimen,komentar_clean
"i think they have the best maybank so far. got my atm blocked & couldn't link to my muid. ben back to branches in tomang, kemang & wisma keiai and they couldn't help & solved. yunita in plaza senayan's branch helped me politely, fast response to!",KCP Sentral Senayan 3,Kota Jakarta Pusat,5,positif,"think best maybank far. got atm blocked & link muid. ben back branches tomang, kemang & wisma keiai help & solved. yunita plaza senayan's branch helped politely, fast response to!"
"pelayanan bagus, memudahkan saya dalam penukaran uang",KCP Sentral Senayan 3,Kota Jakarta Pusat,5,positif,"pelayanan bagus, memudahkan penukaran uang"
good ðÿ‘ðÿ‘ðÿ‘,KCP Sentral Senayan 3,Kota Jakarta Pusat,5,positif,good ðÿ‘ðÿ‘ðÿ‘
"ruanganya adem acnya dingin, pelayanan oke",KCP Sentral Senayan 3,Kota Jakarta Pusat,5,positif,"ruanganya adem acnya dingin, pelayanan oke"
"tempatnya oke, karyawanya ramah saya suka peleayananya",KCP Sentral Senayan 3,Kota Jakarta Pusat,5,positif,"tempatnya oke, karyawanya ramah suka peleayananya"
"stafnya ramah, pelayanan bagus, tempatnya juga nyaman",KCP Sentral Senayan 3,Kota Jakarta Pusat,5,positif,"stafnya ramah, pelayanan bagus, tempatnya nyaman"
sejuk .,KCP Sentral Senayan 3,Kota Jakarta Pusat,5,positif,sejuk .
"pelayanan oke,petugasnya okedan kalau sering ke situ, petugasnya cepet hafal sama customer, ðÿ‘ðÿ‘",KCP Sunter Podomoro,Kota Jakarta Utara,5,positif,"pelayanan oke,petugasnya okedan situ, petugasnya cepet hafal customer, ðÿ‘ðÿ‘"
pelayananya ramah,KCP Sunter Podomoro,Kota Jakarta Utara,4,positif,pelayananya ramah
"friendly team, but please update the maps location",KCP Taman Palem,Kota Jakarta Barat,5,positif,"friendly team, please update maps location"
"pelayananya sangat ramah, dari security customer service sampai telernya semua bagus, terus pertahankan! ðÿ¥°ðÿ¤—ðÿ¤—",KCP Taman Palem,Kota Jakarta Barat,5,positif,"pelayananya ramah, security customer service telernya bagus, pertahankan! ðÿ¥°ðÿ¤—ðÿ¤—"
pelayanan memuaskan,KCP Tanah Abang,Kota Jakarta Pusat,5,positif,pelayanan memuaskan
sering kunjungan,KCP Tanah Abang,Kota Jakarta Pusat,5,positif,kunjungan
pelayananya cepat marketingnya baik baik semoga makin sukses,KCP Tanjung Priok,Kota Jakarta Utara,5,positif,pelayananya cepat marketingnya semoga sukses
sangat baik dan pelayananya sangat ramah dan cepat,KCP Tanjung Priok,Kota Jakarta Utara,5,positif,pelayananya ramah cepat
luarbiasa semoga kedepanya makin sukses,KCP Tanjung Priok,Kota Jakarta Utara,5,positif,luarbiasa semoga kedepanya sukses
"kalau ada bintang juga bakal saya kasih bintang , karena secruitynya baik banget sabar banget nanyanya serta memberitahuinya, tolong untuk atasan pertahankan bapak secruity ini, saya gatau namanya tapi untuk secruity yang bertugas di tangal juli (pagi jam ).atitudenya bagus banget",KCP Tanjung Priok,Kota Jakarta Utara,5,positif,"bintang kasih bintang , secruitynya banget sabar banget nanyanya memberitahuinya, tolong atasan pertahankan secruity ini, gatau namanya secruity bertugas tangal juli (pagi jam ).atitudenya bagus banget"
servicenya cepat dan bm baik hati,KCP Tanjung Priok,Kota Jakarta Utara,5,positif,servicenya cepat bm hati
service excelent,KCP Tanjung Priok,Kota Jakarta Utara,5,positif,service excelent
"pelayanan sangat baik , csnya ramah",KCP Tanjung Priok,Kota Jakarta Utara,5,positif,"pelayanan , csnya ramah"
pelayanan csnya ramah baik dan sangat membantu.ðÿ‘,KCP Tanjung Priok,Kota Jakarta Utara,5,positif,pelayanan csnya ramah membantu.ðÿ‘
lumayan help ful,KCP Tanjung Priok,Kota Jakarta Utara,4,positif,lumayan help ful
mudah terjangkau,KCP Tanjung Priok,Kota Jakarta Utara,5,positif,mudah terjangkau
"pengalaman sya, utk pelayananya sangat cepat. staf customer service & teler pun ramah. selama ini belum ada kendala disini. semoga kedepanya akan sl mengedanpan kenyamanan nasabah yang datang. thanks.",KCP Tanjung Priok,Kota Jakarta Utara,5,positif,"pengalaman sya, utk pelayananya cepat. staf customer service & teler ramah. kendala disini. semoga kedepanya sl mengedanpan kenyamanan nasabah datang. thanks."
pelayanan maybank tb simatupang sangat baik. ayo bertransaksi ke maybank tb simatupang,kcp tb simatupang,Kota Jakarta Selatan,5,positif,pelayanan maybank tb simatupang baik. ayo bertransaksi maybank tb simatupang
layanan maybank di graha simatupang jakarta sangat membantu kegiatan transaksi saya di graha simatupang. semoga maybank tetap jaya dan sukses. jangan pindah ya maybank biar saya lebih mudah transaksinya. terima kasih maybank.,kcp tb simatupang,Kota Jakarta Selatan,5,positif,layanan maybank graha simatupang jakarta membantu kegiatan transaksi graha simatupang. semoga maybank jaya sukses. pindah ya maybank biar mudah transaksinya. terima kasih maybank.
"petugasnya baik dan bersahabat. aku sangat senang memakai layanan maybank di graha simatupang, jakarta.",kcp tb simatupang,Kota Jakarta Selatan,5,positif,"petugasnya bersahabat. senang memakai layanan maybank graha simatupang, jakarta."
"pelayananya bagus sekali di maybank tb simatupang, pegawainya sangat baik dan ramah membuat pelangan nyamanðÿ¥°",kcp tb simatupang,Kota Jakarta Selatan,5,positif,"pelayananya bagus maybank tb simatupang, pegawainya ramah pelangan nyamanðÿ¥°"
